title,url,date,summary
"IPL 2025, RR vs CSK Highlights: Wanindu Hasaranga stars with 4 wickets as Rajasthan Royals defeat Chennai Super Kings by 6 runs",https://indianexpress.com/article/sports/cricket/ipl-2025-rr-vs-csk-live-cricket-score-online-updates-rajasthan-royals-vs-chennai-super-kings-guwahati-scorecard-9913987/,,"IPL 2025, RR vs CSK Highlights: Wanindu Hasaranga stars with 4 wickets as Rajasthan Royals defeat Chennai Super Kings by 6 runs"
RR vs CSK: Where to Watch Rajasthan Royals vs Chennai Super Kings Match?,https://indianexpress.com/article/sports/cricket/rr-vs-csk-live-cricket-score-streaming-online-ipl-2025-9913528/,,RR vs CSK: Where to Watch Rajasthan Royals vs Chennai Super Kings Match?
RR vs CSK: Rajasthan Royals vs Chennai Super Kings impact subs and full squads,https://indianexpress.com/article/sports/cricket/rr-vs-csk-predicted-playing-11-ipl-2025-players-list-rajasthan-royals-chennai-super-kings-9913643/,,RR vs CSK: Rajasthan Royals vs Chennai Super Kings impact subs and full squads
RR vs CSK: What to expect in the Rajasthan Royals vs Chennai Super Kings game,https://indianexpress.com/article/sports/ipl/ipl-2025-rr-vs-csk-pitch-weather-guwahati-barsapara-rajasthan-royals-vs-chennai-super-kings-match-9914063/,,RR vs CSK: What to expect in the Rajasthan Royals vs Chennai Super Kings game
"IPL 2025, RR vs KKR Highlights: Quinton de Kock hits smoking 97, takes Kolkata to 8-wicket win over Rajasthan",https://indianexpress.com/article/sports/cricket/ipl-2025-rr-vs-kkr-live-cricket-score-online-updates-rajasthan-royals-vs-kolkata-knight-riders-barsapara-stadium-scorecard-9906718/,,"IPL 2025, RR vs KKR Highlights: Quinton de Kock hits smoking 97, takes Kolkata to 8-wicket win over Rajasthan"
‘Play on flat pitches and back your batters to win it’: Aakash Chopra advice to struggling Rajasthan Royals,https://indianexpress.com/article/sports/ipl/aakash-chopra-rajasthan-royals-play-on-flat-pitches-back-your-batters-9914485/,,‘Play on flat pitches and back your batters to win it’: Aakash Chopra advice to struggling Rajasthan Royals
IPL 2025: Why is Riyan Parag batting at No 3 for Rajasthan Royals? Rahul Dravid explains,https://indianexpress.com/article/sports/ipl/ipl-2025-why-riyan-parag-batting-no-3-rajasthan-royals-rahul-dravid-explain-9914130/,,IPL 2025: Why is Riyan Parag batting at No 3 for Rajasthan Royals? Rahul Dravid explains
Robin Uthappa to Rajasthan Royals after 8-wicket loss: ‘Need to reflect on their auction strategy’,https://indianexpress.com/article/sports/ipl/robin-uthappa-rajasthan-royals-loss-need-reflect-auction-strategy-9908478/,,Robin Uthappa to Rajasthan Royals after 8-wicket loss: ‘Need to reflect on their auction strategy’
RR vs CSK: Jofra Archer bowls first maiden over of IPL 2025,https://indianexpress.com/article/sports/ipl/rr-vs-csk-jofra-archer-bowls-first-maiden-over-of-2025-9915036/,,RR vs CSK: Jofra Archer bowls first maiden over of IPL 2025
Rajasthan Royals ring more alarm bells for Chennai Super Kings,https://indianexpress.com/article/sports/ipl/rajasthan-royals-ring-more-alarm-bells-for-chennai-super-kings-9915181/,,Rajasthan Royals ring more alarm bells for Chennai Super Kings
‘Difficult to wrap your head around it’: Aakash Chopra’s frank opinion on Rajasthan Royals home ground,https://indianexpress.com/article/sports/ipl/difficult-to-wrap-head-around-aakash-chopra-opinion-rajasthan-royals-home-ground-9908546/,,‘Difficult to wrap your head around it’: Aakash Chopra’s frank opinion on Rajasthan Royals home ground
‘If he has given his commitment…’: Rahul Dravid inspects pitch on wheelchair ahead of RR vs CSK,https://indianexpress.com/article/sports/ipl/commitment-rahul-dravid-inspects-pitch-on-wheelchair-rr-vs-csk-9915507/,,‘If he has given his commitment…’: Rahul Dravid inspects pitch on wheelchair ahead of RR vs CSK
"IPL 2025: Moeen and Varun choke RR’s batting rhythm, then De Kock puts on masterclass in KKR’s impressive win against RR",https://indianexpress.com/article/sports/ipl/ipl-2025-kolkata-knight-riders-beat-rajasthan-royals-rr-vs-kkr-9907962/,,"IPL 2025: Moeen and Varun choke RR’s batting rhythm, then De Kock puts on masterclass in KKR’s impressive win against RR"
"Bengaluru suitcase murder: husband arrested in Pune after discharge from hospital; deep knife injury to neck caused woman’s death, probe suggests",https://indianexpress.com/article/cities/bangalore/bengaluru-suitcase-murder-husband-arrested-9915888/,,
"Punjab Vigilance Bureau arrests SHO, ASI for demanding Rs 1.50 lakh bribe",https://indianexpress.com/article/cities/chandigarh/punjab-vigilance-bureau-arrests-sho-asi-demanding-bribe-9915868/,,
"‘Oppressive, authoritarian’: Under ‘house arrest’, Kashmir’s chief priest slams authorities barring Eid prayers at Jama Masjid",https://indianexpress.com/article/india/kashmir-chief-priest-mirwaiz-jama-masjid-oppressive-authoritarian-9915829/,,
